;dataset;featureset;imputation;dim_reduction;init_train_len;test_len;split_perc;kernel;alpha;n_restarts_optimizer;standardize;normalize_y;one_step_ahead;optimized_kernel;RMSE_Train_RW;RMSE_Test_RW;RMSE_Train_seasRW;RMSE_Test_seasRW;RMSE_Train_HA;RMSE_Test_HA;RMSE_Train;RMSE_Test;shuf_cv_rmse_mean;shuf_cv_rmse_std;shuf_cv_rmse_0;shuf_cv_rmse_1;shuf_cv_rmse_2;shuf_cv_rmse_3;shuf_cv_rmse_4
367;GeneralCashierData_weekly;full;mean;None;;;0,8;31.6**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1);10;0;True;False;False;316**2 * RationalQuadratic(alpha=1.92, length_scale=7.36) + WhiteKernel(noise_level=1e+05);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;460,6029113381;1658,5285783738;586,6070331607;91,71234189;502,6663396167;658,1643229857;475,3289974462;578,2223504321;718,6531553227
1458;GeneralCashierData_weekly;full;mean;pca;;;0,8;31.6**2 + ExpSineSquared(length_scale=1, periodicity=52) * RationalQuadratic(alpha=1, length_scale=1);1,00E-05;10;False;False;False;316**2 + ExpSineSquared(length_scale=0.588, periodicity=62) * RationalQuadratic(alpha=0.026, length_scale=1e-05);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,0080038715;1607,1535247637;586,728352304;86,4064165001;491,1165017953;615,7737137944;493,6433044127;612,0749856684;721,0332558494
1288;GeneralCashierData_weekly;full;mean;pca;;;0,8;31.6**2 + Matern(length_scale=1, nu=1.5) * RBF(length_scale=1);0,1;10;False;False;False;316**2 + Matern(length_scale=4.28, nu=1.5) * RBF(length_scale=1e+05);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;81,4930730002;1647,895140861;586,8215048875;95,3130764983;488,7351425806;623,9866025493;474,3474477193;615,4788718005;731,5594597879
1524;GeneralCashierData_weekly;full;mean;pca;;;0,8;31.6**2 + Matern(length_scale=1, nu=1.5) * RBF(length_scale=1);0,1;5;False;False;False;316**2 + Matern(length_scale=4.28, nu=1.5) * RBF(length_scale=1e+05);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;81,4930730002;1647,895140861;586,8215048875;95,3130764983;488,7351425806;623,9866025493;474,3474477193;615,4788718005;731,5594597879
1707;GeneralCashierData_weekly;full;mean;pca;;;0,8;31.6**2 + Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=52);0,1;0;False;False;False;316**2 + Matern(length_scale=4.28, nu=1.5) * ExpSineSquared(length_scale=1e+05, periodicity=62);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;81,4930734996;1647,895134683;586,8218710058;95,3127889056;488,7351425436;623,9865627536;474,3490285995;615,4788690612;731,5597520709
1853;GeneralCashierData_weekly;full;mean;pca;;;0,8;ExpSineSquared(length_scale=1, periodicity=52) + RationalQuadratic(alpha=1, length_scale=1);0,001;10;False;False;False;ExpSineSquared(length_scale=0.0155, periodicity=62) + RationalQuadratic(alpha=1.55, length_scale=6.64);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,4470026981;1665,3104365186;587,045205019;93,2940069243;502,8519862301;664,1281567721;471,9796833227;578,1865371408;718,0796616292
871;GeneralCashierData_weekly;full;mean;None;;;0,8;31.6**2 + Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=52);1;0;True;True;False;0.0134**2 + Matern(length_scale=1e+05, nu=1.5) * ExpSineSquared(length_scale=1.23, periodicity=62);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;524,2244796744;1485,6336358027;587,5398852947;75,9977448267;507,0987910284;607,1181171105;510,2214559687;599,6259915655;713,6350708003
541;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=52);1;10;True;True;False;Matern(length_scale=80.2, nu=1.5) * ExpSineSquared(length_scale=1.27, periodicity=62);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;524,5367758445;1484,1572829724;587,5402070583;75,9435376322;507,0976795366;607,0505164928;510,2246812721;599,8682065149;713,4599514751
102;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=52);1;0;True;True;False;Matern(length_scale=7.83e+04, nu=1.5) * ExpSineSquared(length_scale=1.23, periodicity=62);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;524,2266240893;1485,6447590384;587,5743880616;75,9999512996;507,0976795366;607,0505164928;510,2246812721;599,8691099451;713,6299530615
1425;GeneralCashierData_weekly;full;mean;pca;;;0,8;Matern(length_scale=1, nu=1.5) * RBF(length_scale=1) + WhiteKernel(noise_level=1);0,001;0;True;True;False;Matern(length_scale=2.82e+03, nu=1.5) * RBF(length_scale=6.21) + WhiteKernel(noise_level=0.123);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;258,9717704922;1478,485773312;587,6684639366;82,2549541123;518,4907761881;691,6698734937;482,6017126204;574,2025426671;671,3774147137
999;GeneralCashierData_weekly;full;mean;pca;;;0,8;Matern(length_scale=1, nu=1.5) * RBF(length_scale=1);0,001;10;True;True;False;Matern(length_scale=6.88, nu=1.5) * RBF(length_scale=11.3);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;2,357181097;1569,1172873932;587,6706042991;82,2552704042;518,4916924736;691,6717099552;482,6028476026;574,2071599121;671,3796115521
1173;GeneralCashierData_weekly;full;mean;pca;;;0,8;Matern(length_scale=1, nu=1.5) * RBF(length_scale=1) * RationalQuadratic(alpha=1, length_scale=1);1,00E-05;0;True;True;False;Matern(length_scale=6.84, nu=1.5) * RBF(length_scale=11.5) * RationalQuadratic(alpha=6.92, length_scale=228);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,0235887853;1569,8633508063;587,6930090319;82,5053214699;517,4303069351;691,900363051;482,8028141131;574,5806367566;671,7509243036
779;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) + RBF(length_scale=1) + RationalQuadratic(alpha=1, length_scale=1);0,1;5;True;False;False;Matern(length_scale=0.0556, nu=1.5) + RBF(length_scale=10) + RationalQuadratic(alpha=4, length_scale=3.23);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;28,9761543185;1688,8572985748;588,0314016602;100,4605304027;492,9261750885;659,2208788856;464,9088283843;589,5111888581;733,5899370845
544;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) + RBF(length_scale=1);1,00E-05;0;True;False;False;Matern(length_scale=8.82, nu=1.5) + RBF(length_scale=0.496);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,0044469706;1698,0802229043;588,1324838249;98,4068776242;493,8327819288;662,9753742318;481,977067657;565,0098843319;736,8673109752
241;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) + RBF(length_scale=1) * RationalQuadratic(alpha=1, length_scale=1);0,1;5;True;False;False;Matern(length_scale=9.22, nu=1.5) + RBF(length_scale=3.72) * RationalQuadratic(alpha=0.581, length_scale=1.08);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;42,8201124266;1691,9736867911;588,3467892152;98,4376360056;493,1515154296;660,7760016092;469,3489433937;588,7563370576;729,7011485861
2;GeneralCashierData_weekly;full;mean;None;;;0,8;ExpSineSquared(length_scale=1, periodicity=52) + RBF(length_scale=1) + RationalQuadratic(alpha=1, length_scale=1);1,00E-05;5;True;False;False;ExpSineSquared(length_scale=0.884, periodicity=62) + RBF(length_scale=1.33) + RationalQuadratic(alpha=1.42, length_scale=2.71);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,0029951754;1694,4184279712;588,3806378023;99,7392875894;492,7782332775;659,433018184;467,1867660827;589,6887303234;732,816441144
1181;GeneralCashierData_weekly;full;mean;pca;;;0,8;31.6**2 + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1);1,00E-05;0;True;True;False;0.509**2 + Matern(length_scale=6.22, nu=1.5) + WhiteKernel(noise_level=1e-05);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,045213367;1510,5313820188;588,6644319847;74,8894974226;516,3703180338;673,6379982439;487,4326078671;606,2329901814;659,6482455972
888;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) + ExpSineSquared(length_scale=1, periodicity=52) + RationalQuadratic(alpha=1, length_scale=1);0,1;5;True;False;False;Matern(length_scale=1.17, nu=1.5) + ExpSineSquared(length_scale=0.887, periodicity=62) + RationalQuadratic(alpha=1.36, length_scale=2.88);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;28,9772149317;1694,9040650173;588,6789077235;100,1530966871;493,0439096865;660,8128538866;466,9924593508;588,9658185786;733,5794971151
1876;GeneralCashierData_weekly;full;mean;pca;;;0,8;Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=52);0,001;5;True;True;False;Matern(length_scale=6.81, nu=1.5) * ExpSineSquared(length_scale=1.21, periodicity=62);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;2,3390405854;1564,8870167597;588,7997560133;81,5280320824;518,7402232512;690,9867231112;484,930455635;577,1243617951;672,2170162741
224;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1);0,1;0;True;False;False;Matern(length_scale=9.17, nu=1.5) + RationalQuadratic(alpha=1.99, length_scale=1.49);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;42,827537077;1691,9352658072;588,987684295;97,677477092;493,1703995489;660,8394359005;472,6735921248;588,4427506666;729,812243234
204;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) * RationalQuadratic(alpha=1, length_scale=1);1,00E-05;5;True;False;False;Matern(length_scale=10.8, nu=1.5) * RationalQuadratic(alpha=0.145, length_scale=0.792);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,0089854359;1694,3257160429;589,4077249977;99,2370769374;493,404157526;660,7499516727;470,6578555007;588,4887138059;733,737946483
46;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=52) * RationalQuadratic(alpha=1, length_scale=1);0,001;5;True;False;False;Matern(length_scale=11.2, nu=1.5) * ExpSineSquared(length_scale=4.86, periodicity=62) * RationalQuadratic(alpha=0.15, length_scale=0.824);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,8976530928;1694,3419654703;589,5027102941;99,1966817514;493,6271457377;660,7522623568;470,6457787089;588,7506033153;733,7377613517
645;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) * RBF(length_scale=1) * RationalQuadratic(alpha=1, length_scale=1);0,001;0;True;False;False;Matern(length_scale=1.83e+03, nu=1.5) * RBF(length_scale=11.6) * RationalQuadratic(alpha=0.253, length_scale=1.37);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,897255778;1690,5453405532;589,548743172;99,0891073477;493,7431784563;660,9297919236;470,6580149531;589,0445306159;733,3681999111
23;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) * RBF(length_scale=1) * RationalQuadratic(alpha=1, length_scale=1);0,1;5;True;False;False;Matern(length_scale=1.75e+03, nu=1.5) * RBF(length_scale=11.6) * RationalQuadratic(alpha=0.258, length_scale=1.69);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;81,6467744506;1690,59913312;589,5861142671;99,1002096192;493,8210225399;660,926425347;470,6605863217;589,0604089062;733,4621282207
1426;GeneralCashierData_weekly;full;mean;pca;;;0,8;Matern(length_scale=1, nu=1.5) + RBF(length_scale=1) * RationalQuadratic(alpha=1, length_scale=1);1;0;False;False;False;Matern(length_scale=5.92, nu=1.5) + RBF(length_scale=11.4) * RationalQuadratic(alpha=0.0144, length_scale=1e-05);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;298,3167407238;1656,8263771695;589,5963277185;96,0429318731;500,6807112695;665,7196592643;471,3062970986;585,0066887703;725,2682821897
789;GeneralCashierData_weekly;full;mean;None;;;0,8;RBF(length_scale=1) + RationalQuadratic(alpha=1, length_scale=1);1,00E-05;0;True;False;False;RBF(length_scale=1.63) + RationalQuadratic(alpha=1.44, length_scale=6.46);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,0044835295;1698,4976483438;589,5990130566;96,237085923;496,060997642;663,6555384152;478,5409662896;579,9689177492;729,7686451868
839;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) * RBF(length_scale=1) + RationalQuadratic(alpha=1, length_scale=1);0,001;5;True;False;False;Matern(length_scale=82.8, nu=1.5) * RBF(length_scale=1.63) + RationalQuadratic(alpha=1.44, length_scale=6.46);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,448118372;1698,4961646975;589,6277100947;96,2366035454;496,0883545591;663,6894851783;478,55700523;580,0201698509;729,7835356552
1577;GeneralCashierData_weekly;full;mean;pca;;;0,8;Matern(length_scale=1, nu=1.5) * RBF(length_scale=1) * RationalQuadratic(alpha=1, length_scale=1);1,00E-05;10;False;False;False;Matern(length_scale=12.1, nu=1.5) * RBF(length_scale=20.9) * RationalQuadratic(alpha=0.0895, length_scale=0.174);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,0089423265;1656,8763573489;589,6888770551;95,5138064652;502,5102374044;662,5534427794;471,8424344818;584,7617733984;726,7764972117
1229;GeneralCashierData_weekly;full;mean;pca;;;0,8;Matern(length_scale=1, nu=1.5) * RBF(length_scale=1) * RationalQuadratic(alpha=1, length_scale=1);1,00E-05;0;False;False;False;Matern(length_scale=12.1, nu=1.5) * RBF(length_scale=20.9) * RationalQuadratic(alpha=0.0895, length_scale=0.174);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,0089423265;1656,8763573489;589,6891343869;95,5134627116;502,5102374044;662,5533770341;471,843786886;584,7617733984;726,7764972117
